age,education_level,career_field,main_sector,employer_type,contract_type,weekly_hours,residence,province,monthly_income_rwf
21,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,42.0,Rural,Eastern Province,20800.0
18,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,10.0,Rural,Eastern Province,18200.0
26,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,42.0,Rural,Eastern Province,12000.0
25,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,15.0,Rural,Eastern Province,26000.0
19,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,16.0,Rural,Eastern Province,26000.0
18,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,18200.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,13000.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,13000.0
17,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,40.0,Rural,Eastern Province,15600.0
28,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Eastern Province,13000.0
19,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,54.0,Rural,Eastern Province,65000.0
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,40.0,Rural,Eastern Province,39000.0
25,Tertiary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Rural,Eastern Province,200000.0
27,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,7.0,Rural,Eastern Province,52000.0
30,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,63.0,Rural,Eastern Province,30000.0
22,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,54.0,Rural,Eastern Province,20000.0
20,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,40.0,Rural,Eastern Province,104000.0
30,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,31200.0
29,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Urban,Eastern Province,39000.0
22,Primary education,Elementary and other work,Services,Household,Oral agreement,42.0,Urban,Eastern Province,25000.0
22,Primary education,Elementary and other work,Services,Household,Oral agreement,7.0,Urban,Eastern Province,20000.0
30,Primary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,78.0,Urban,Eastern Province,150000.0
24,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,27.0,Urban,Eastern Province,78000.0
28,Primary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,27.0,Urban,Eastern Province,78000.0
28,Primary education,Elementary and other work,Services,Private business or VUP,Oral agreement,2.0,Urban,Kigali city,39000.0
24,Lower secondary education,Skilled trades and operators,Services,Private business or VUP,Oral agreement,45.0,Urban,Kigali city,130000.0
25,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,45.0,Urban,Kigali city,20000.0
24,Upper secondary education,"Education, health and social services",Services,Private business or VUP,Written contract,25.0,Urban,Kigali city,80000.0
