graduation_year,education_level,course_group,first_job_level,first_job_sector,qualification_requirement,first_job_via_nysc,employer_valued_factor,course_preparation_score,employability_skill_count,problem_solving_skill,communication_skill,first_monthly_income_ngn
2013,Bachelor's degree,Health and life sciences,Entry level,Health,Formal requirement,No,Other,4,5,True,True,35000.0
2016,Bachelor's degree,Business and economics,Entry level,Trade and services,Gave an advantage,No,Academic credential,3,6,True,True,35000.0
2013,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,No,Internship or practical experience,4,1,False,False,35000.0
2017,Bachelor's degree,Other,Experienced/professional,"Media, marketing and creative",Not required,No,Internship or practical experience,1,0,False,False,35000.0
2015,Bachelor's degree,Technology and computing,Entry level,Technology and telecommunications,Gave an advantage,No,Internship or practical experience,4,6,True,True,10000.0
2014,Master's degree,"Arts, communication and humanities",Entry level,"Media, marketing and creative",Not required,No,Internship or practical experience,2,6,True,True,75000.0
2016,Bachelor's degree,"Arts, communication and humanities",Entry level,Education,Formal requirement,No,Subject studied,3,5,True,True,10000.0
2015,Bachelor's degree,Technology and computing,Entry level,Other,Not required,Yes,Subject studied,4,1,False,False,35000.0
2013,Bachelor's degree,Law,Entry level,Education,Formal requirement,No,No single factor,3,5,True,True,10000.0
2015,Bachelor's degree,Other,Clerical and administrative,Education,Formal requirement,Yes,Academic credential,3,4,True,False,10000.0
2013,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Formal requirement,No,Subject studied,4,6,True,True,10000.0
2014,Bachelor's degree,Business and economics,Entry level,"Engineering, construction and energy",Not required,No,Skills and prior experience,1,0,False,False,125000.0
2013,Master's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,Yes,Academic credential,3,6,True,True,10000.0
2015,Bachelor's degree,Technology and computing,Entry level,Technology and telecommunications,Formal requirement,No,Skills and prior experience,3,3,True,False,75000.0
2013,Higher National Diploma (HND),Engineering and built environment,Clerical and administrative,Technology and telecommunications,Not required,No,Academic credential,1,4,True,True,10000.0
2013,Bachelor's degree,Health and life sciences,Entry level,Finance and consulting,Formal requirement,No,No single factor,4,4,False,True,35000.0
2015,Bachelor's degree,Health and life sciences,Entry level,Other,Formal requirement,No,Subject studied,3,1,True,False,35000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,Technology and telecommunications,Not required,No,Other,3,4,True,True,35000.0
2014,Ordinary National Diploma (OND),Business and economics,Entry level,Other,Gave an advantage,No,Unknown,3,1,False,False,10000.0
2016,Bachelor's degree,Business and economics,Entry level,"Media, marketing and creative",Formal requirement,Yes,Academic credential,4,1,True,False,10000.0
2016,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Formal requirement,Yes,Subject studied,3,2,False,True,125000.0
2015,Bachelor's degree,"Arts, communication and humanities",Entry level,Other,Formal requirement,No,Academic credential,3,3,False,True,75000.0
2015,Bachelor's degree,Technology and computing,Entry level,Other,Formal requirement,No,Internship or practical experience,3,3,True,True,35000.0
2015,Ordinary National Diploma (OND),Education,Entry level,Trade and services,Not required,No,Unknown,4,5,True,True,35000.0
2014,Bachelor's degree,Technology and computing,Entry level,Technology and telecommunications,Gave an advantage,No,Skills and prior experience,3,5,True,True,35000.0
2015,Bachelor's degree,Health and life sciences,Entry level,Health,Formal requirement,No,Subject studied,4,5,True,True,175000.0
2016,Bachelor's degree,Business and economics,Entry level,Health,Formal requirement,No,Subject studied,3,3,False,True,10000.0
2014,Bachelor's degree,Other,Entry level,Finance and consulting,Not required,No,No single factor,2,3,False,True,35000.0
2015,Bachelor's degree,Business and economics,Clerical and administrative,Public and nonprofit,Formal requirement,No,Skills and prior experience,1,5,True,True,10000.0
2015,Ordinary National Diploma (OND),Technology and computing,Clerical and administrative,Technology and telecommunications,Gave an advantage,No,Subject studied,4,5,True,True,10000.0
2014,Bachelor's degree,Health and life sciences,Clerical and administrative,Education,Not required,No,Academic credential,4,6,True,True,35000.0
2017,Bachelor's degree,Health and life sciences,Entry level,Technology and telecommunications,Formal requirement,No,Subject studied,4,5,True,True,35000.0
2016,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Formal requirement,No,Unknown,3,3,True,False,175000.0
2015,Bachelor's degree,Other,Entry level,Technology and telecommunications,Gave an advantage,Yes,Unknown,2,5,False,True,35000.0
2014,Bachelor's degree,Technology and computing,Clerical and administrative,Technology and telecommunications,Not required,No,Academic credential,4,6,True,True,35000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,No,Subject studied,3,1,True,False,10000.0
2015,Bachelor's degree,Business and economics,Entry level,"Media, marketing and creative",Formal requirement,No,Academic credential,4,1,False,False,35000.0
2016,Bachelor's degree,Health and life sciences,Entry level,Health,Not required,No,Academic credential,3,6,True,True,35000.0
2015,Bachelor's degree,Technology and computing,Entry level,Finance and consulting,Gave an advantage,No,Academic credential,3,4,False,True,35000.0
2014,Higher National Diploma (HND),Technology and computing,Entry level,Technology and telecommunications,Gave an advantage,No,Internship or practical experience,4,4,True,True,75000.0
2014,Bachelor's degree,Engineering and built environment,Entry level,Other,Gave an advantage,No,Subject studied,2,2,True,False,10000.0
2014,Bachelor's degree,Engineering and built environment,Clerical and administrative,Other,Formal requirement,No,Subject studied,4,1,False,False,75000.0
2016,Bachelor's degree,Technology and computing,Entry level,Other,Formal requirement,Yes,Internship or practical experience,3,4,False,True,35000.0
2017,Bachelor's degree,"Arts, communication and humanities",Entry level,Technology and telecommunications,Formal requirement,No,No single factor,2,4,True,True,35000.0
2014,Bachelor's degree,Engineering and built environment,Entry level,Other,Gave an advantage,No,Internship or practical experience,3,1,False,False,35000.0
2017,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Not required,No,Internship or practical experience,1,1,False,False,35000.0
2014,Bachelor's degree,Health and life sciences,Experienced/professional,Health,Formal requirement,No,Subject studied,4,1,False,False,75000.0
2013,Bachelor's degree,Engineering and built environment,Clerical and administrative,Public and nonprofit,Formal requirement,No,Academic credential,1,4,False,True,10000.0
2015,Bachelor's degree,Technology and computing,Entry level,Education,Formal requirement,No,Other,3,4,False,True,10000.0
2015,Bachelor's degree,Business and economics,Entry level,Education,Formal requirement,Yes,Academic credential,4,1,False,False,10000.0
2015,Bachelor's degree,Technology and computing,Entry level,Education,Not required,No,Academic credential,1,1,False,False,10000.0
2014,Bachelor's degree,Other,Entry level,"Media, marketing and creative",Formal requirement,No,No single factor,2,4,True,True,75000.0
2017,Bachelor's degree,Engineering and built environment,Entry level,Health,Gave an advantage,No,Internship or practical experience,4,5,True,True,35000.0
2015,Bachelor's degree,Health and life sciences,Clerical and administrative,Education,Not required,No,No single factor,1,0,False,False,10000.0
2017,Bachelor's degree,Health and life sciences,Clerical and administrative,Trade and services,Gave an advantage,No,Subject studied,3,6,True,True,35000.0
2016,Bachelor's degree,Business and economics,Clerical and administrative,"Media, marketing and creative",Not required,No,Subject studied,3,4,False,True,10000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,Technology and telecommunications,Not required,No,Academic credential,3,4,True,False,35000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,No,Internship or practical experience,3,1,False,False,35000.0
2016,Bachelor's degree,"Arts, communication and humanities",Entry level,Finance and consulting,Not required,No,Academic credential,3,5,False,True,35000.0
